,Kingdom,Phylum,Class,Order,Family,Genus,Species,COMMENT.on.genus,primary_lifestyle,Secondary_lifestyle,Comment_on_lifestyle_template,Endophytic_interaction_capability_template,Plant_pathogenic_capacity_template,Decay_substrate_template,Decay_type_template,Aquatic_habitat_template,Animal_biotrophic_capacity_template,Specific_hosts,Growth_form_template,Fruitbody_type_template,Hymenium_type_template,Ectomycorrhiza_exploration_type_template,Ectomycorrhiza_lineage_template,primary_photobiont,secondary_photobiont,Decay_type,Fruitbody_type,OTU_ID
OTU887,Fungi,Basidiomycota,Agaricomycetes,Russulales,Russulaceae,Russula,,,ectomycorrhizal,,,,,,,non-aquatic,,,filamentous_mycelium,agaricoid,gills,contact,/russula-lactarius,,,,agaricoid,OTU887
OTU888,Fungi,Basidiomycota,Agaricomycetes,Cantharellales,Clavulinaceae,,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,OTU888
OTU889,Fungi,Basidiomycota,Agaricomycetes,Agaricales,Clavariaceae,,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,OTU889
OTU890,Fungi,Ascomycota,Eurotiomycetes,Onygenales,,,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,OTU890
OTU892,Fungi,Basidiomycota,Agaricostilbomycetes,Agaricostilbales,Chionosphaeraceae,Chionosphaera,Chionosphaera cuniculicola,,litter_saprotroph,,lichen_parasite_two_species,,,leaf/fruit/seed,,,animal_endosymbiont,,dimorphic_yeast,other,smooth,,,,,,other,OTU892
OTU894,Fungi,,,,,,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,OTU894
OTU895,Fungi,Ascomycota,Leotiomycetes,Helotiales,Hyaloscyphaceae,,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,OTU895
OTU897,Fungi,Mortierellomycota,Mortierellomycetes,Mortierellales,Mortierellaceae,Mortierella,Mortierella gemmifera,,soil_saprotroph,root-associated,,root-associated,root-associated,"roots,soil",chitinolytic,partly_aquatic,opportunistic_human_parasite,,filamentous_mycelium,none,none,,,,,chitinolytic,none,OTU897
OTU898,Fungi,Ascomycota,Leotiomycetes,Helotiales,,Chalara,Chalara longipes,,litter_saprotroph,plant_pathogen,hypervariable,foliar_endophyte,"wood_pathogen,leaf/fruit/seed_pathogen","wood,leaf/fruit/seed",soft_rot,non-aquatic,,,filamentous_mycelium,None,none,,,,,soft_rot,None,OTU898
OTU899,Fungi,Ascomycota,Pezizomycetes,Pezizales,Pezizaceae,Peziza,,,soil_saprotroph,foliar_endophyte,ectomycorrhizal_many_species_in_several_lineages,foliar_endophyte,,soil,,non-aquatic,,,filamentous_mycelium,apothecium_(hymenium_on_surface),smooth,,,,,,apothecium_(hymenium_on_surface),OTU899
OTU902,Fungi,Ascomycota,Archaeorhizomycetes,Archaeorhizomycetales,Archaeorhizomycetaceae,Archaeorhizomyces,,,soil_saprotroph,root-associated,,root-associated,root-associated,"roots,soil",,non-aquatic,,,filamentous_mycelium,none,none,,,,,,none,OTU902
OTU903,Fungi,Ascomycota,Leotiomycetes,Helotiales,,,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,OTU903
OTU909,Fungi,Ascomycota,,,,,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,OTU909
OTU910,Fungi,Mortierellomycota,Mortierellomycetes,Mortierellales,,,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,OTU910
OTU912,Fungi,,,,,,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,OTU912
OTU913,Fungi,Chytridiomycota,,,,,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,OTU913
OTU914,Fungi,Kickxellomycota,,,,,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,OTU914
OTU916,Fungi,Ascomycota,Eurotiomycetes,Eurotiales,Trichocomaceae,Talaromyces,,,unspecified_saprotroph,,"hyperviariable,_thermophile,_some_species_animal_parasite_some_species_various_saprotrophs",,,"leaf/fruit/seed,soil,animal_material",mold,partly_aquatic,opportunistic_human_parasite,,filamentous_mycelium,,,,,,,mold,,OTU916
OTU918,Fungi,,,,,,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,OTU918
OTU924,Fungi,Ascomycota,Pezizomycetes,Pezizales,Pyronemataceae,Rhodoscypha,,,ectomycorrhizal,,,,,,,non-aquatic,,,filamentous_mycelium,apothecium_(hymenium_on_surface),smooth,unknown,/rhodoscypha,,,,apothecium_(hymenium_on_surface),OTU924
OTU925,Fungi,Basidiomycota,Pucciniomycetes,,,,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,OTU925
OTU928,Fungi,Basidiomycota,Agaricomycetes,,,,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,OTU928
OTU930,Fungi,Ascomycota,Pezizomycetes,Pezizales,Pyronemataceae,Paurocotylis,,,soil_saprotroph,,,,,soil,,non-aquatic,,,filamentous_mycelium,gasteroid-hypogeous,closed,,,,,,gasteroid-hypogeous,OTU930
OTU931,Fungi,Ascomycota,Sordariomycetes,Hypocreales,,,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,OTU931
OTU932,Fungi,Ascomycota,Leotiomycetes,Helotiales,,,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,OTU932
OTU933,Fungi,Basidiomycota,Atractiellomycetes,Atractiellales,Phleogenaceae,Bourdotigloea,Bourdotigloea grisea,,unspecified_saprotroph,,,,,,,,,,filamentous_mycelium,other,gel,,,,,,other,OTU933
OTU934,Fungi,,,,,,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,OTU934
OTU936,Fungi,Basidiomycota,Agaricomycetes,Agaricales,Callistosporiaceae,Pseudolaccaria,Pseudolaccaria pachyphylla,,litter_saprotroph,,,,,leaf/fruit/seed,,non-aquatic,,,filamentous_mycelium,agaricoid,gills,,,,,,agaricoid,OTU936
OTU937,Fungi,Basidiomycota,,,,,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,OTU937
OTU938,Fungi,Rozellomycota,,,,,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,OTU938
OTU939,Fungi,Basidiomycota,Agaricomycetes,Cantharellales,Ceratobasidiaceae,,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,OTU939
OTU940,Fungi,,,,,,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,OTU940
OTU941,Fungi,Mortierellomycota,Mortierellomycetes,Mortierellales,Mortierellaceae,Mortierella,,,soil_saprotroph,root-associated,,root-associated,root-associated,"roots,soil",chitinolytic,partly_aquatic,opportunistic_human_parasite,,filamentous_mycelium,none,none,,,,,chitinolytic,none,OTU941
OTU942,Fungi,,,,,,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,OTU942
OTU943,Fungi,Blastocladiomycota,,,,,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,OTU943
OTU944,Fungi,Kickxellomycota,Kickxellomycetes,Kickxellales,,,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,OTU944
OTU945,Fungi,Basidiomycota,Agaricomycetes,Sebacinales,Serendipitaceae,Serendipita,Serendipita herbamans,,root_endophyte,soil_saprotroph,ectomycorrhizal_1%_species/ericoid_mycorrhizal_many_species/orchid_mycorrhizal,root_endophyte,,soil,,non-aquatic,,,filamentous_mycelium,none,none,,,,,,none,OTU945
OTU947,Fungi,Basidiomycota,Agaricomycetes,Agaricales,Tricholomataceae,Hemimycena,Hemimycena gracilis,,litter_saprotroph,,,,,leaf/fruit/seed,,non-aquatic,,,filamentous_mycelium,agaricoid,gills,,,,,,agaricoid,OTU947
OTU950,Fungi,Rozellomycota,,,,,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,OTU950
OTU952,Fungi,Basidiomycota,Agaricomycetes,Agaricales,Amanitaceae,Amanita,,,ectomycorrhizal,,,,,,,non-aquatic,,,filamentous_mycelium,agaricoid,gills,contact,/amanita,,,,agaricoid,OTU952
OTU953,Fungi,Ascomycota,Eurotiomycetes,Sclerococcales,,,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,OTU953
OTU956,Fungi,Ascomycota,Saccharomycetes,Saccharomycetales,Metschnikowiaceae,Clavispora,,,litter_saprotroph,nectar/tap_saprotroph,,,,"leaf/fruit/seed,sugar-rich_substrates",,partly_aquatic,animal_parasite/opportunistic_human_parasite,,yeast,none,none,,,,,,none,OTU956
OTU958,Fungi,Basidiomycota,,,,,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,OTU958
OTU960,Fungi,Mortierellomycota,Mortierellomycetes,Mortierellales,,,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,OTU960
OTU963,Fungi,,,,,,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,OTU963
OTU966,Fungi,Basidiomycota,Agaricomycetes,Atheliales,Pilodermataceae,Piloderma,Piloderma lanatum,,ectomycorrhizal,,,,,,,non-aquatic,,,filamentous_mycelium,corticioid,smooth,medium-distance_fringe,/piloderma,,,,corticioid,OTU966
OTU967,Fungi,Ascomycota,Eurotiomycetes,Chaetothyriales,Herpotrichiellaceae,,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,OTU967
OTU969,Fungi,,,,,,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,OTU969
OTU970,Fungi,Basidiomycota,,,,,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,OTU970
OTU971,Fungi,Ascomycota,Lecanoromycetes,,,,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,OTU971
OTU972,Fungi,Basidiomycota,Agaricomycetes,Agaricales,Clavariaceae,Clavulinopsis,,,soil_saprotroph,unspecified_symbiotroph,CHEGD_symbiotrophs,root-associated,root-associated,"roots,soil",,non-aquatic,,,filamentous_mycelium,clavarioid,smooth,,,,,,clavarioid,OTU972
OTU973,Fungi,Basidiomycota,Agaricomycetes,Agaricales,Tricholomataceae,Flagelloscypha,Flagelloscypha minutissima,,litter_saprotroph,,wood_saprotroph_some_species,,,leaf/fruit/seed,,,,,filamentous_mycelium,cyphelloid,smooth,,,,,,cyphelloid,OTU973
OTU974,Fungi,Ascomycota,Leotiomycetes,Helotiales,,,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,OTU974
OTU975,Fungi,Basidiomycota,Agaricomycetes,Agaricales,Tricholomataceae,Fayodia,Fayodia gracilipes,,litter_saprotroph,,,,,leaf/fruit/seed,,non-aquatic,,,filamentous_mycelium,agaricoid,gills,,,,,,agaricoid,OTU975
OTU979,Fungi,Ascomycota,Pezizomycetes,Pezizales,,,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,OTU979
OTU981,Fungi,Mortierellomycota,Mortierellomycetes,Mortierellales,,,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,OTU981
OTU982,Fungi,Mortierellomycota,Mortierellomycetes,Mortierellales,Mortierellaceae,Mortierella,,,soil_saprotroph,root-associated,,root-associated,root-associated,"roots,soil",chitinolytic,partly_aquatic,opportunistic_human_parasite,,filamentous_mycelium,none,none,,,,,chitinolytic,none,OTU982
OTU983,Fungi,,,,,,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,OTU983
OTU984,Fungi,Ascomycota,Dothideomycetes,Capnodiales,Teratosphaeriaceae,Catenulostroma,,,plant_pathogen,,,,leaf/fruit/seed_pathogen,,,non-aquatic,,,filamentous_mycelium,"perithecium_(hymenium_hidden,_narrow_opening)",closed,,,,,,"perithecium_(hymenium_hidden,_narrow_opening)",OTU984
OTU985,Fungi,,,,,,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,OTU985
OTU986,Fungi,Basidiomycota,,,,,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,OTU986
OTU987,Fungi,Ascomycota,Leotiomycetes,,,,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,OTU987
OTU988,Fungi,Basidiomycota,Agaricomycetes,Agaricales,,,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,OTU988
OTU989,Fungi,Glomeromycota,Glomeromycetes,Glomerales,Glomeraceae,,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,OTU989
OTU992,Fungi,Mortierellomycota,Mortierellomycetes,Mortierellales,Mortierellaceae,Mortierella,,,soil_saprotroph,root-associated,,root-associated,root-associated,"roots,soil",chitinolytic,partly_aquatic,opportunistic_human_parasite,,filamentous_mycelium,none,none,,,,,chitinolytic,none,OTU992
OTU993,Fungi,Ascomycota,Leotiomycetes,Helotiales,,,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,OTU993
OTU995,Fungi,Ascomycota,Dothideomycetes,Venturiales,Venturiaceae,,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,OTU995
OTU997,Fungi,,,,,,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,OTU997
OTU998,Fungi,,,,,,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,OTU998
OTU1001,Fungi,Ascomycota,Xylonomycetes,,,,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,OTU1001
OTU1002,Fungi,,,,,,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,OTU1002
OTU1003,Fungi,Basidiomycota,Agaricomycetes,Agaricales,Clavariaceae,Clavaria,Clavaria tenuipes,,soil_saprotroph,unspecified_symbiotroph,CHEGD_symbiotrophs,root-associated,root-associated,"roots,soil",,non-aquatic,,,filamentous_mycelium,clavarioid,smooth,,,,,,clavarioid,OTU1003
OTU1005,Fungi,Ascomycota,Sordariomycetes,Hypocreales,Nectriaceae,,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,OTU1005
OTU1010,Fungi,Basidiomycota,Tremellomycetes,Tremellales,Bulleribasidiaceae,Vishniacozyma,Vishniacozyma victoriae,,soil_saprotroph,,extremophile,,,soil,,non-aquatic,,,yeast,,,,,,,,,OTU1010
OTU1012,Fungi,,,,,,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,OTU1012
OTU1013,Fungi,Ascomycota,Leotiomycetes,Helotiales,,,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,OTU1013
OTU1014,Fungi,Basidiomycota,Agaricomycetes,Agaricales,Entolomataceae,Entoloma,,,soil_saprotroph,unspecified_symbiotroph,"CHEGD_symbiotrophs,ectomycorrhizal_ca_10%_of_species",root-associated,root-associated,"roots,soil",,non-aquatic,,,filamentous_mycelium,agaricoid,gills,medium-distance_smooth,/entoloma,,,,agaricoid,OTU1014
OTU1016,Fungi,Ascomycota,Sordariomycetes,Sordariales,Chaetomiaceae,Humicola,Humicola grisea,,wood_saprotroph,,,,,wood,soft_rot,non-aquatic,,,filamentous_mycelium,none,none,,,,,soft_rot,none,OTU1016
OTU1017,Fungi,Ascomycota,Saccharomycetes,Saccharomycetales,Lipomycetaceae,Dipodascopsis,,,nectar/tap_saprotroph,,,,,sugar-rich_substrates,,non-aquatic,arthropod-associated,,yeast,none,none,,,,,,none,OTU1017
OTU1018,Fungi,Ascomycota,Pezizomycetes,Pezizales,Morchellaceae,Morchella,Morchella snyderi,,soil_saprotroph,root-associated,,root-associated,root-associated,"roots,soil",,non-aquatic,,,filamentous_mycelium,apothecium_(hymenium_on_surface),smooth,,,,,,apothecium_(hymenium_on_surface),OTU1018
OTU1020,Fungi,Basidiomycota,Tremellomycetes,Tremellales,Tremellaceae,Tremella,Tremella encephala,,mycoparasite,,lichen_parasite_some_species,,,fungal_material,,non-aquatic,,,dimorphic_yeast,,,,,,,,,OTU1020
OTU1023,Fungi,Basidiomycota,Microbotryomycetes,,Chrysozymaceae,,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,OTU1023
OTU1027,Fungi,Ascomycota,,,,,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,OTU1027
OTU1028,Fungi,Ascomycota,Sordariomycetes,Hypocreales,Hypocreaceae,Trichoderma,,,mycoparasite,foliar_endophyte,hypervariable,foliar_endophyte,leaf/fruit/seed_pathogen,"leaf/fruit/seed,soil,fungal_material",soft_rot,,,,filamentous_mycelium,"perithecium_(hymenium_hidden,_narrow_opening)",closed,,,,,soft_rot,"perithecium_(hymenium_hidden,_narrow_opening)",OTU1028
OTU1031,Fungi,Basidiomycota,Agaricomycetes,Agaricales,Agaricaceae,Gigasperma,Gigasperma americanum,,ectomycorrhizal,,,,,,,non-aquatic,,,filamentous_mycelium,gasteroid-hypogeous,closed,medium-distance_fringe,/cortinarius,,,,gasteroid-hypogeous,OTU1031
OTU1032,Fungi,Ascomycota,Saccharomycetes,Saccharomycetales,Lipomycetaceae,Lipomyces,,,nectar/tap_saprotroph,,,,,sugar-rich_substrates,,non-aquatic,arthropod-associated,,yeast,none,none,,,,,,none,OTU1032
OTU1033,Fungi,Basidiomycota,Agaricomycetes,Russulales,Bondarzewiaceae,Heterobasidion,,,plant_pathogen,wood_saprotroph,,,wood_pathogen,wood,white_rot,non-aquatic,,,filamentous_mycelium,polyporoid,poroid,,,,,white_rot,polyporoid,OTU1033
OTU1035,Fungi,Basidiomycota,Agaricomycetes,Gomphales,Gomphaceae,Gomphus,Gomphus bonarii,,ectomycorrhizal,,,,,,,non-aquatic,,,filamentous_mycelium,agaricoid,smooth,mat,/ramaria-gautieria,,,,agaricoid,OTU1035
OTU1037,Fungi,Ascomycota,Dothideomycetes,Pleosporales,Didymellaceae,,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,OTU1037
OTU1038,Fungi,Ascomycota,Leotiomycetes,Helotiales,,Chalara,,,litter_saprotroph,plant_pathogen,hypervariable,foliar_endophyte,"wood_pathogen,leaf/fruit/seed_pathogen","wood,leaf/fruit/seed",soft_rot,non-aquatic,,,filamentous_mycelium,None,none,,,,,soft_rot,None,OTU1038
OTU1039,Fungi,Ascomycota,Dothideomycetes,Pleosporales,,,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,OTU1039
OTU1041,Fungi,Basidiomycota,Agaricomycetes,Agaricales,Tricholomataceae,Tricholomopsis,Tricholomopsis flammula,,wood_saprotroph,,,,,wood,,non-aquatic,,,filamentous_mycelium,agaricoid,gills,,,,,,agaricoid,OTU1041
OTU1043,Fungi,Ascomycota,Dothideomycetes,,,,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,OTU1043
OTU1045,Fungi,Chytridiomycota,Chytridiomycetes,Chytridiales,,,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,OTU1045
OTU1046,Fungi,Ascomycota,Lecanoromycetes,,,,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,OTU1046
OTU1049,Fungi,Basidiomycota,,,,,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,OTU1049
OTU1050,Fungi,,,,,,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,OTU1050
OTU1052,Fungi,Basidiomycota,Tremellomycetes,Filobasidiales,Filobasidiaceae,Goffeauzyma,,,soil_saprotroph,litter_saprotroph,,,,"leaf/fruit/seed,soil",,non-aquatic,,,yeast,none,none,,,,,,none,OTU1052
OTU1053,Fungi,Basidiomycota,Agaricomycetes,Geastrales,Geastraceae,Geastrum,Geastrum elegans,,litter_saprotroph,,,,,leaf/fruit/seed,,non-aquatic,,,filamentous_mycelium,gasteroid,closed,,,,,,gasteroid,OTU1053
OTU1056,Fungi,Ascomycota,Saccharomycetes,Saccharomycetales,,,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,OTU1056
OTU1057,Fungi,Basidiomycota,Tremellomycetes,Tremellales,Tremellaceae,Cryptococcus,,,unspecified_saprotroph,foliar_endophyte,hypervariable,foliar_endophyte,,"leaf/fruit/seed,soil,dung,animal_material",,partly_aquatic,animal-associated/opportunistic_human_parasite,,yeast,,,,,,,,,OTU1057
OTU1058,Fungi,Ascomycota,Pezizomycetes,Pezizales,Pyronemataceae,,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,OTU1058
OTU1059,Fungi,Mucoromycota,Umbelopsidomycetes,Umbelopsidales,Umbelopsidaceae,Umbelopsis,,,soil_saprotroph,root-associated,,root-associated,root-associated,"roots,soil",mold,non-aquatic,,,filamentous_mycelium,none,none,,,,,mold,none,OTU1059
OTU1061,Fungi,Basidiomycota,Agaricomycetes,Agaricales,Inocybaceae,Inocybe,,,ectomycorrhizal,,,,,,,non-aquatic,,,filamentous_mycelium,agaricoid,gills,short-distance_delicate,/inocybe,,,,agaricoid,OTU1061
OTU1062,Fungi,Kickxellomycota,,,,,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,OTU1062
OTU1063,Fungi,Basidiomycota,Agaricomycetes,Agaricales,Amanitaceae,Amanita,,,ectomycorrhizal,,,,,,,non-aquatic,,,filamentous_mycelium,agaricoid,gills,contact,/amanita,,,,agaricoid,OTU1063
OTU1064,Fungi,Ascomycota,Sordariomycetes,Hypocreales,,,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,OTU1064
OTU1066,Fungi,Zoopagomycota,,,,,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,OTU1066
OTU1069,Fungi,Basidiomycota,,,,,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,OTU1069
OTU1072,Fungi,Ascomycota,Leotiomycetes,Helotiales,Vibrisseaceae,Phialocephala,,,soil_saprotroph,root_endophyte,,root_endophyte_dark_septate,root-associated,"roots,soil",,non-aquatic,,,filamentous_mycelium,apothecium_(hymenium_on_surface),smooth,,,,,,apothecium_(hymenium_on_surface),OTU1072
OTU1073,Fungi,,,,,,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,OTU1073
OTU1074,Fungi,Ascomycota,Pezizomycetes,Pezizales,Discinaceae,Hydnotrya,,,ectomycorrhizal,,,,,,,non-aquatic,,,filamentous_mycelium,gasteroid-hypogeous,closed,contact,/hydnotrya,,,,gasteroid-hypogeous,OTU1074
OTU1075,Fungi,Ascomycota,Sordariomycetes,Hypocreales,Clavicipitaceae,Metapochonia,Metapochonia suchlasporia,,animal_parasite,animal_decomposer,,,,animal_material,,partly_aquatic,nematophagous,,filamentous_mycelium,,,,,,,,,OTU1075
OTU1078,Fungi,Basidiomycota,Agaricomycetes,Hymenochaetales,,,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,OTU1078
OTU1079,Fungi,Ascomycota,Eurotiomycetes,Eurotiales,Aspergillaceae,Penicillium,,,unspecified_saprotroph,foliar_endophyte,"toxin-producing,animal_parasite_some_species,mycoparasite_some_species",foliar_endophyte,,soil,mold,partly_aquatic,opportunistic_human_parasite,,filamentous_mycelium,,,,,,,mold,,OTU1079
OTU1080,Fungi,Ascomycota,Orbiliomycetes,Orbiliales,Orbiliaceae,Dactylellina,,,animal_parasite,wood_saprotroph,,,,"wood,leaf/fruit/seed,soil,animal_material",,partly_aquatic,nematophagous,,filamentous_mycelium,apothecium_(hymenium_on_surface),smooth,,,,,,apothecium_(hymenium_on_surface),OTU1080
OTU1082,Fungi,Basidiomycota,Agaricomycetes,Agaricales,Omphalotaceae,Rhodocollybia,,,litter_saprotroph,,,,,leaf/fruit/seed,,non-aquatic,,,filamentous_mycelium,agaricoid,gills,,,,,,agaricoid,OTU1082
OTU1084,Fungi,Basidiomycota,Agaricomycetes,Sebacinales,,,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,OTU1084
OTU1086,Fungi,Ascomycota,Sordariomycetes,,,,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,OTU1086
