,Kingdom,Phylum,Class,Order,Family,Genus,Species,COMMENT.on.genus,primary_lifestyle,Secondary_lifestyle,Comment_on_lifestyle_template,Endophytic_interaction_capability_template,Plant_pathogenic_capacity_template,Decay_substrate_template,Decay_type_template,Aquatic_habitat_template,Animal_biotrophic_capacity_template,Specific_hosts,Growth_form_template,Fruitbody_type_template,Hymenium_type_template,Ectomycorrhiza_exploration_type_template,Ectomycorrhiza_lineage_template,primary_photobiont,secondary_photobiont,Decay_type,Fruitbody_type,OTU_ID
OTU2535,Fungi,Ascomycota,Sordariomycetes,Xylariales,Xylariaceae,Biscogniauxia,Biscogniauxia mediterranea,,wood_saprotroph,foliar_endophyte,,foliar_endophyte,wood_pathogen,"wood,leaf/fruit/seed",,non-aquatic,,angiosperms,filamentous_mycelium,"perithecium_(hymenium_hidden,_narrow_opening)",closed,,,,,,"perithecium_(hymenium_hidden,_narrow_opening)",OTU2535
OTU2551,Fungi,Basidiomycota,Agaricomycetes,Russulales,Russulaceae,,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,OTU2551
OTU2553,Fungi,Ascomycota,Leotiomycetes,,,,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,OTU2553
OTU2558,Fungi,Basidiomycota,Agaricomycetes,Agaricales,Psathyrellaceae,Psathyrella,Psathyrella conica,,wood_saprotroph,litter_saprotroph,,,,"wood,leaf/fruit/seed",,partly_aquatic,,,filamentous_mycelium,agaricoid,gills,,,,,,agaricoid,OTU2558
OTU2569,Fungi,Ascomycota,Leotiomycetes,Helotiales,,,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,OTU2569
OTU2576,Fungi,,,,,,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,OTU2576
OTU2579,Fungi,Basidiomycota,Tremellomycetes,Cystofilobasidiales,,,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,OTU2579
OTU2606,Fungi,Ascomycota,,,,,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,OTU2606
OTU2623,Fungi,Basidiomycota,Agaricomycetes,Russulales,Albatrellaceae,Leucophleps,,,ectomycorrhizal,,,,,,,non-aquatic,,,filamentous_mycelium,gasteroid-hypogeous,closed,medium-distance_smooth,/albatrellus,,,,gasteroid-hypogeous,OTU2623
OTU2640,Fungi,Basidiomycota,Agaricomycetes,Polyporales,,,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,OTU2640
OTU2646,Fungi,Basidiomycota,Agaricomycetes,Russulales,Albatrellaceae,,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,OTU2646
OTU2659,Fungi,Basidiomycota,Dacrymycetes,Dacrymycetales,Dacrymycetaceae,Calocera,,,wood_saprotroph,,,,,wood,brown_rot,non-aquatic,,,filamentous_mycelium,clavarioid,smooth,,,,,brown_rot,clavarioid,OTU2659
